Country Name,Capitol City,Population,GDP,COVID-19 Cases,COVID-19 Deaths
Central African Republic,Bangui,4666377,2379716827,4691,61
Bhutan,Thimphu,754394,2534965163,173,0
Australia,Canberra,24992369,1.43E+12,25053,525
Austria,Vienna,8847037,4.56E+11,25838,733
Belgium,Brussels,11422068,5.32E+11,82353,9878
Afghanistan,Kabul,37172386,19362969582,38071,1397
Denmark,Copenhagen,5797446,3.51E+11,16480,623
Greece,Athens,10727668,2.18E+11,8987,243
Bahrain,Manama,1569439,37746196809,50076,186
Cameroon,Yaounde,25216237,38502059858,18973,410
Poland,Warsaw,37978548,5.86E+11,63073,1977
Mauritius,Port Louis,1265303,14220348673,346,10
Bulgaria,Sofia,7024216,65132951116,15386,563
Ireland,Dublin,4853506,3.76E+11,28201,1777
Syrian Arab Republic,Damascus,16906283,50280000000,2293,92
Iceland,Reykjavik,353574,25878475760,2077,10
Guinea,Conakry,12414318,10989790256,9128,57
Mexico,Mexico City,126190788,1.22E+12,568621,61450
Egypt,Cairo,98423595,2.51E+11,97619,5298
Netherlands,Amsterdam,17231017,9.13E+11,67476,6198
Trinidad and Tobago,Port of Spain,1389858,23410353435,1252,15
Burundi,Bujumbura,11175378,3078029929,430,1
Hong Kong of China,Hong Kong,7451000,3.63E+11,4736,78
Chile,Santiago,18729160,2.98E+11,400985,10958
Mozambique,Maputo,29495962,14457964381,3508,21
Portugal,Lisbon,10281762,2.38E+11,55912,1805
Namibia,Windhoek,2606971,27505000000,6160,57
Spain,Madrid,46723749,1.43E+12,412553,28924
Serbia,Belgrade,6982084,50508366850,30820,705
Gabon,Libreville,2119275,17017401832,8409,53
Bosnia and Herzegovina,Sarajevo,3323929,19781776101,18324,554
Ukraine,Kiev,44622516,1.31E+11,110085,2318
Pakistan,Islamabad,212215030,3.13E+11,294193,6267
Kosovo,Pristina,1845300,7900268736,12683,488
Somalia,Mogadishu,15008154,7484000000,3275,95
Ghana,Accra,29767108,65556464056,43717,270
Algeria,Algiers,42228429,1.81E+11,42228,1456
Niger,Niamey,22442948,9239513530,1173,69
Liberia,Monrovia,4818977,3249000000,1295,82
Togo,Lome,7889094,5300214337,1309,27
Croatia,Zagreb,4089400,60805659436,8530,175
Angola,Luanda,30809762,1.06E+11,2222,100
Cote d'Ivoire,Yamoussoukro,23740424,1.06E+11,17562,114
Chad,N'Djamena,15477751,11302544205,995,77
Romania,Bucharest,19473936,2.40E+11,80390,3367
Qatar,Doha,2781677,1.92E+11,117498,194
Georgia,Tbilisi,3731000,16209818081,1436,19
Iran,Tehran,81800269,1.54E+12,361150,20776
Kuwait,Kuwait City,4137309,1.42E+11,81573,519
Zimbabwe,Harare,14439018,31000519447,6196,166
