Country Name,Capitol City,Population,GDP,COVID-19 Cases,COVID-19 Deaths
Brazil,Brasilia,209469333,1.87E+12,3669995,116580
Portugal,Lisbon,10281762,2.38E+11,55912,1805
Kazakhstan,Astana,18276499,1.71E+11,127462,1781
Zimbabwe,Harare,14439018,31000519447,6196,166
Libya,Tripolis,6678567,48319620013,11281,203
Madagascar,Antananarivo,26262368,12100459087,14475,178
Moldova,Chisinau,3545883,11309082555,34358,960
Armenia,Yerevan,2951776,12433089919,42936,858
Democratic Republic of the Congo,Kinshasa,84068091,47227535291,9891,251
Uruguay,Montevideo,3449299,59596885024,1536,43
Taiwan Province of China,Taipei,23577271,1.31E+12,487,7
Pakistan,Islamabad,212215030,3.13E+11,294193,6267
Colombia,Bogota,49648685,3.30E+11,562128,17889
Nigeria,Abuja,195874740,3.97E+11,52800,1007
Belize,Belmopan,408487,3343000000,730,10
Cote d'Ivoire,Yamoussoukro,23740424,1.06E+11,17562,114
Liberia,Monrovia,4818977,3249000000,1295,82
Panama,Panama City,4176873,65055100000,88381,1919
Croatia,Zagreb,4089400,60805659436,8530,175
Ethiopia,Addis Ababa,109224559,84355462494,43688,709
Paraguay,Asuncion,6956071,40842341774,14228,231
Afghanistan,Kabul,37172386,19362969582,38071,1397
Haiti,Port-au-Prince,11123176,9658084644,8112,196
Ecuador,Quito,17084357,1.08E+11,109030,6368
France,Paris,66987244,2.78E+12,248158,30544
Singapore,Singapur,5638676,3.64E+11,56435,27
Czech Republic,Prague,10625695,2.44E+11,22548,416
Venezuela,Caracas,28870195,76458000000,41158,343
Switzerland,Berne,8516543,7.06E+11,40161,1722
Argentina,Buenos Aires,44494502,5.18E+11,359625,7563
Iran,Tehran,81800269,1.54E+12,361150,20776
Luxembourg,Luxembourg,607728,69487922619,7838,124
Albania,Tirana,2866376,15058879129,8759,259
Sudan,Khartoum,41801533,40851536134,12974,819
South Africa,Pretoria,57779622,3.66E+11,613017,13308
El Salvador,San Salvador,6420744,26056950000,24986,687
Indonesia,Jakarta,267663435,1.04E+12,157859,6858
Kosovo,Pristina,1845300,7900268736,12683,488
Germany,Berlin,82927922,4.00E+12,236429,9280
Malta,Valletta,483530,14542039605,1705,10
Latvia,Riga,1926542,34849078086,1342,33
Austria,Vienna,8847037,4.56E+11,25838,733
Iceland,Reykjavik,353574,25878475760,2077,10
China,Beijing,1392730000,1.36E+13,89752,4712
Ukraine,Kiev,44622516,1.31E+11,110085,2318
Mexico,Mexico City,126190788,1.22E+12,568621,61450
Trinidad and Tobago,Port of Spain,1389858,23410353435,1252,15
Greece,Athens,10727668,2.18E+11,8987,243
Uzbekistan,Tashkent,32955400,50499920318,39790,289
Denmark,Copenhagen,5797446,3.51E+11,16480,623
